Workflow,Metric,ExperimentNr,Data,PredictionFor,Target, Estimator,MedianDeviation
EAGER-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Lotaru-G,0.2509978157930107
EAGER-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Lotaru-A,0.18434042903262146
EAGER-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,OnlineM,0.4736889184199474
EAGER-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,OnlineP,0.4736889184199474
EAGER-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Naive,0.7562761942471505
EAGER-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Lotaru-G,0.30028514987787713
EAGER-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Lotaru-A,0.1317774097441221
EAGER-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,OnlineM,0.4296787008517312
EAGER-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,OnlineP,0.4296787008517312
EAGER-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Naive,0.7303225864724898
BACASS-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Lotaru-G,0.22799661993655923
BACASS-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Lotaru-A,0.19273579797446233
BACASS-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,OnlineM,0.3906003070440087
BACASS-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,OnlineP,0.3906003070440087
BACASS-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Naive,0.29609936539300197
BACASS-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Lotaru-G,0.309799462645842
BACASS-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Lotaru-A,0.2416292173353053
BACASS-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,OnlineM,0.4552134547457001
BACASS-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,OnlineP,0.4552134547457001
BACASS-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Naive,0.4672978933305663
CHIPSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Lotaru-G,0.11201996422428957
CHIPSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Lotaru-A,0.16651581089359255
CHIPSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,OnlineM,0.4607305865965538
CHIPSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,OnlineP,0.4607305865965538
CHIPSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Naive,0.4077412289285423
CHIPSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Lotaru-G,0.08661360934607171
CHIPSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Lotaru-A,0.14868778545557776
CHIPSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,OnlineM,0.45965251501755594
CHIPSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,OnlineP,0.45965251501755594
CHIPSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Naive,0.4218351904886285
ATACSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Lotaru-G,0.14671868974004582
ATACSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Lotaru-A,0.2212553850510264
ATACSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,OnlineM,0.32483347944436153
ATACSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,OnlineP,0.32483347944436153
ATACSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Naive,0.5754415024279358
ATACSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Lotaru-G,0.2029058114017644
ATACSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Lotaru-A,0.18579096962444155
ATACSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,OnlineM,0.37567577787832146
ATACSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,OnlineP,0.37567577787832146
ATACSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Naive,0.5325752990823512
METHYLSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Lotaru-G,0.07131860511458489
METHYLSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Lotaru-A,0.2878453038674033
METHYLSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,OnlineM,0.2974960330844523
METHYLSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,OnlineP,0.29015747224020855
METHYLSEQ-0,Median Error,0,ALL_DATA,ASOK02,ASOK02,Naive,0.9915051231897382
METHYLSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Lotaru-G,0.13661447512673486
METHYLSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Lotaru-A,0.29349736379613356
METHYLSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,OnlineM,0.29349736379613356
METHYLSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,OnlineP,0.2914209494311006
METHYLSEQ-1,Median Error,1,ALL_DATA,ASOK02,ASOK02,Naive,0.21138008312103226
