Workflow,Metric,ExperimentNr,Data,PredictionFor,Target, Estimator,MedianDeviation
EAGER-0,Median Error,0,ALL_DATA,C2,C2,Lotaru-G,0.13061830354004633
EAGER-0,Median Error,0,ALL_DATA,C2,C2,Lotaru-A,0.1538940918962363
EAGER-0,Median Error,0,ALL_DATA,C2,C2,OnlineM,0.2930868999349052
EAGER-0,Median Error,0,ALL_DATA,C2,C2,OnlineP,0.29002523001474156
EAGER-0,Median Error,0,ALL_DATA,C2,C2,Naive,0.6394239262296797
EAGER-1,Median Error,1,ALL_DATA,C2,C2,Lotaru-G,0.16448149219004943
EAGER-1,Median Error,1,ALL_DATA,C2,C2,Lotaru-A,0.08508789572396147
EAGER-1,Median Error,1,ALL_DATA,C2,C2,OnlineM,0.27353213867784754
EAGER-1,Median Error,1,ALL_DATA,C2,C2,OnlineP,0.27353213867784754
EAGER-1,Median Error,1,ALL_DATA,C2,C2,Naive,0.7325216861497714
BACASS-0,Median Error,0,ALL_DATA,C2,C2,Lotaru-G,0.17152438236315187
BACASS-0,Median Error,0,ALL_DATA,C2,C2,Lotaru-A,0.18009725243702335
BACASS-0,Median Error,0,ALL_DATA,C2,C2,OnlineM,0.37442589895821665
BACASS-0,Median Error,0,ALL_DATA,C2,C2,OnlineP,0.37442589895821665
BACASS-0,Median Error,0,ALL_DATA,C2,C2,Naive,1.1289114478042368
BACASS-1,Median Error,1,ALL_DATA,C2,C2,Lotaru-G,0.16840950221991524
BACASS-1,Median Error,1,ALL_DATA,C2,C2,Lotaru-A,0.16198161717450718
BACASS-1,Median Error,1,ALL_DATA,C2,C2,OnlineM,0.279424386394105
BACASS-1,Median Error,1,ALL_DATA,C2,C2,OnlineP,0.279424386394105
BACASS-1,Median Error,1,ALL_DATA,C2,C2,Naive,0.5213566174594713
CHIPSEQ-0,Median Error,0,ALL_DATA,C2,C2,Lotaru-G,0.08941103046507601
CHIPSEQ-0,Median Error,0,ALL_DATA,C2,C2,Lotaru-A,0.10775192714047852
CHIPSEQ-0,Median Error,0,ALL_DATA,C2,C2,OnlineM,0.25001207987044705
CHIPSEQ-0,Median Error,0,ALL_DATA,C2,C2,OnlineP,0.25001207987044705
CHIPSEQ-0,Median Error,0,ALL_DATA,C2,C2,Naive,0.8283981975219343
CHIPSEQ-1,Median Error,1,ALL_DATA,C2,C2,Lotaru-G,0.14666213151083837
CHIPSEQ-1,Median Error,1,ALL_DATA,C2,C2,Lotaru-A,0.11278329064164805
CHIPSEQ-1,Median Error,1,ALL_DATA,C2,C2,OnlineM,0.18442196133078703
CHIPSEQ-1,Median Error,1,ALL_DATA,C2,C2,OnlineP,0.18442196133078703
CHIPSEQ-1,Median Error,1,ALL_DATA,C2,C2,Naive,0.8228921103430894
ATACSEQ-0,Median Error,0,ALL_DATA,C2,C2,Lotaru-G,0.2180680193976553
ATACSEQ-0,Median Error,0,ALL_DATA,C2,C2,Lotaru-A,0.20268985411367588
ATACSEQ-0,Median Error,0,ALL_DATA,C2,C2,OnlineM,0.3644920035087148
ATACSEQ-0,Median Error,0,ALL_DATA,C2,C2,OnlineP,0.3644920035087148
ATACSEQ-0,Median Error,0,ALL_DATA,C2,C2,Naive,1.0089025651499801
ATACSEQ-1,Median Error,1,ALL_DATA,C2,C2,Lotaru-G,0.21575034170569946
ATACSEQ-1,Median Error,1,ALL_DATA,C2,C2,Lotaru-A,0.24904157359737686
ATACSEQ-1,Median Error,1,ALL_DATA,C2,C2,OnlineM,0.39789721482716534
ATACSEQ-1,Median Error,1,ALL_DATA,C2,C2,OnlineP,0.3957506130416342
ATACSEQ-1,Median Error,1,ALL_DATA,C2,C2,Naive,0.8783137835857897
METHYLSEQ-0,Median Error,0,ALL_DATA,C2,C2,Lotaru-G,0.17305465269552375
METHYLSEQ-0,Median Error,0,ALL_DATA,C2,C2,Lotaru-A,0.19788425637834475
METHYLSEQ-0,Median Error,0,ALL_DATA,C2,C2,OnlineM,0.16765152865544172
METHYLSEQ-0,Median Error,0,ALL_DATA,C2,C2,OnlineP,0.16765152865544172
METHYLSEQ-0,Median Error,0,ALL_DATA,C2,C2,Naive,2.039927058781233
METHYLSEQ-1,Median Error,1,ALL_DATA,C2,C2,Lotaru-G,0.11648029846047563
METHYLSEQ-1,Median Error,1,ALL_DATA,C2,C2,Lotaru-A,0.1627255756067206
METHYLSEQ-1,Median Error,1,ALL_DATA,C2,C2,OnlineM,0.14550592651166952
METHYLSEQ-1,Median Error,1,ALL_DATA,C2,C2,OnlineP,0.14550592651166952
METHYLSEQ-1,Median Error,1,ALL_DATA,C2,C2,Naive,0.8428482843295191
