Workflow,Metric,ExperimentNr,Data,PredictionFor,Target, Estimator,MedianDeviation
EAGER-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Lotaru-G,0.06422648693597431
EAGER-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Lotaru-A,0.06422648693597431
EAGER-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,OnlineM,0.16045978259939467
EAGER-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,OnlineP,0.16045978259939467
EAGER-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Naive,0.6644923345278346
EAGER-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Lotaru-G,0.09840074210472166
EAGER-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Lotaru-A,0.09840074210472166
EAGER-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,OnlineM,0.17740801499518
EAGER-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,OnlineP,0.17740801499518
EAGER-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Naive,0.6914167722876466
BACASS-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Lotaru-G,0.1442217078528312
BACASS-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Lotaru-A,0.1442217078528312
BACASS-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,OnlineM,0.09231465918742333
BACASS-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,OnlineP,0.09231465918742333
BACASS-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Naive,0.4714217537442179
BACASS-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Lotaru-G,0.05873206429409586
BACASS-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Lotaru-A,0.05873206429409586
BACASS-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,OnlineM,0.16997246697802354
BACASS-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,OnlineP,0.16997246697802354
BACASS-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Naive,0.32331911105833533
CHIPSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Lotaru-G,0.08084830338944698
CHIPSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Lotaru-A,0.08084830338944698
CHIPSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,OnlineM,0.12387882672916209
CHIPSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,OnlineP,0.12387882672916209
CHIPSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Naive,0.6495084443092547
CHIPSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Lotaru-G,0.04487315624867014
CHIPSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Lotaru-A,0.04487315624867014
CHIPSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,OnlineM,0.09333496996472462
CHIPSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,OnlineP,0.09333496996472462
CHIPSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Naive,0.5925430481522003
ATACSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Lotaru-G,0.08014332231872447
ATACSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Lotaru-A,0.08014332231872447
ATACSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,OnlineM,0.0675722123050207
ATACSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,OnlineP,0.0675722123050207
ATACSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Naive,1.1860908748445798
ATACSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Lotaru-G,0.1156201273345975
ATACSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Lotaru-A,0.1156201273345975
ATACSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,OnlineM,0.07582149647010211
ATACSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,OnlineP,0.07582149647010211
ATACSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Naive,0.7967664445029123
METHYLSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Lotaru-G,0.045368421944096946
METHYLSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Lotaru-A,0.045368421944096946
METHYLSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,OnlineM,0.06942258300627568
METHYLSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,OnlineP,0.06942258300627568
METHYLSEQ-0,Median Error,0,ALL_DATA,LOCAL,LOCAL,Naive,3.0790837188115017
METHYLSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Lotaru-G,0.11772452282223378
METHYLSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Lotaru-A,0.11772452282223378
METHYLSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,OnlineM,0.18102415081080114
METHYLSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,OnlineP,0.18102415081080114
METHYLSEQ-1,Median Error,1,ALL_DATA,LOCAL,LOCAL,Naive,1.12654505482119
