Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
asok02,EAGER-0,bcftools_stats,Lotaru-G,Realtime,8.330435694E9,2831.5,13496.0,0.7901970954356846
asok02,EAGER-0,bcftools_stats,Lotaru-G,Realtime,2.5705994498E10,2831.5,29267.0,0.9032528103324563
asok02,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.4754556884E10,2831.5,18954.0,0.8506120080194154
asok02,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.9100037384E10,2831.5,18098.0,0.8435462482042214
asok02,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.9132169434E10,2831.5,18221.0,0.8446023818670765
asok02,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.907531498E10,2831.5,18119.0,0.8437275787847012
asok02,EAGER-0,bcftools_stats,OnlineP,Realtime,8.330435694E9,880.8497968808451,13496.0,0.9347325283876079
asok02,EAGER-0,bcftools_stats,OnlineP,Realtime,2.5705994498E10,880.8497968808451,29267.0,0.9699029693210495
asok02,EAGER-0,bcftools_stats,OnlineP,Realtime,1.4754556884E10,880.8497968808451,18954.0,0.9535269707248684
asok02,EAGER-0,bcftools_stats,OnlineP,Realtime,1.9100037384E10,880.8497968808451,18098.0,0.9513288873422011
asok02,EAGER-0,bcftools_stats,OnlineP,Realtime,1.9132169434E10,880.8497968808451,18221.0,0.9516574393896688
asok02,EAGER-0,bcftools_stats,OnlineP,Realtime,1.907531498E10,880.8497968808451,18119.0,0.9513852973739807
asok02,EAGER-0,bcftools_stats,OnlineM,Realtime,8.330435694E9,2831.5,13496.0,0.7901970954356846
asok02,EAGER-0,bcftools_stats,OnlineM,Realtime,2.5705994498E10,2831.5,29267.0,0.9032528103324563
asok02,EAGER-0,bcftools_stats,OnlineM,Realtime,1.4754556884E10,2831.5,18954.0,0.8506120080194154
asok02,EAGER-0,bcftools_stats,OnlineM,Realtime,1.9100037384E10,2831.5,18098.0,0.8435462482042214
asok02,EAGER-0,bcftools_stats,OnlineM,Realtime,1.9132169434E10,2831.5,18221.0,0.8446023818670765
asok02,EAGER-0,bcftools_stats,OnlineM,Realtime,1.907531498E10,2831.5,18119.0,0.8437275787847012
asok02,EAGER-0,bcftools_stats,Naive,Realtime,8.330435694E9,3322.5,13496.0,0.753815945465323
