Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
c2,EAGER-0,bcftools_stats,Lotaru-G,Realtime,8.330435694E9,2831.5,6181.0,0.5419026047565119
c2,EAGER-0,bcftools_stats,Lotaru-G,Realtime,2.5705994498E10,2831.5,13109.0,0.7840033564726524
c2,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.9100037384E10,2831.5,9492.0,0.7016961651917404
c2,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.907531498E10,2831.5,9288.0,0.6951442721791559
c2,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.4754556884E10,2831.5,9051.0,0.6871616395978345
c2,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.9132169434E10,2831.5,9142.0,0.6902756508422665
c2,EAGER-0,bcftools_stats,OnlineP,Realtime,8.330435694E9,4374.348261871013,6181.0,0.292291172646657
c2,EAGER-0,bcftools_stats,OnlineP,Realtime,2.5705994498E10,4374.348261871013,13109.0,0.6663095383422829
c2,EAGER-0,bcftools_stats,OnlineP,Realtime,1.9100037384E10,4374.348261871013,9492.0,0.5391542075567832
c2,EAGER-0,bcftools_stats,OnlineP,Realtime,1.907531498E10,4374.348261871013,9288.0,0.5290322715470486
c2,EAGER-0,bcftools_stats,OnlineP,Realtime,1.4754556884E10,4374.348261871013,9051.0,0.5167000042126823
c2,EAGER-0,bcftools_stats,OnlineP,Realtime,1.9132169434E10,4374.348261871013,9142.0,0.5215108004954043
c2,EAGER-0,bcftools_stats,OnlineM,Realtime,8.330435694E9,2831.5,6181.0,0.5419026047565119
c2,EAGER-0,bcftools_stats,OnlineM,Realtime,2.5705994498E10,2831.5,13109.0,0.7840033564726524
c2,EAGER-0,bcftools_stats,OnlineM,Realtime,1.9100037384E10,2831.5,9492.0,0.7016961651917404
c2,EAGER-0,bcftools_stats,OnlineM,Realtime,1.907531498E10,2831.5,9288.0,0.6951442721791559
c2,EAGER-0,bcftools_stats,OnlineM,Realtime,1.4754556884E10,2831.5,9051.0,0.6871616395978345
c2,EAGER-0,bcftools_stats,OnlineM,Realtime,1.9132169434E10,2831.5,9142.0,0.6902756508422665
c2,EAGER-0,bcftools_stats,Naive,Realtime,8.330435694E9,3322.5,6181.0,0.4624656204497654
c2,EAGER-0,bcftools_stats,Naive,Realtime,2.5705994498E10,3322.5,13109.0,0.7465481730109086
c2,EAGER-0,bcftools_stats,Naive,Realtime,1.9100037384E10,3322.5,9492.0,0.6499683944374209
c2,EAGER-0,bcftools_stats,Naive,Realtime,1.907531498E10,3322.5,9288.0,0.6422803617571059
c2,EAGER-0,bcftools_stats,Naive,Realtime,1.4754556884E10,3322.5,9051.0,0.6329134902220749
c2,EAGER-0,bcftools_stats,Naive,Realtime,1.9132169434E10,3322.5,9142.0,0.6365674907022534
c2,EAGER-0,bcftools_stats,Lotaru-A,Realtime,8.330435694E9,2831.5,6181.0,0.5419026047565119
