Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
local,EAGER-0,bcftools_stats,Lotaru-G,Realtime,8.330435694E9,2831.5,7872.0,0.640307418699187
local,EAGER-0,bcftools_stats,Lotaru-G,Realtime,2.5705994498E10,2831.5,16950.0,0.8329498525073746
local,EAGER-0,bcftools_stats,OnlineP,Realtime,8.330435694E9,3638.591764371131,7872.0,0.5377805177374072
local,EAGER-0,bcftools_stats,OnlineP,Realtime,2.5705994498E10,3638.591764371131,16950.0,0.7853338192111428
local,EAGER-0,bcftools_stats,OnlineM,Realtime,8.330435694E9,2831.5,7872.0,0.640307418699187
local,EAGER-0,bcftools_stats,OnlineM,Realtime,2.5705994498E10,2831.5,16950.0,0.8329498525073746
local,EAGER-0,bcftools_stats,Naive,Realtime,8.330435694E9,3322.5,7872.0,0.5779344512195121
local,EAGER-0,bcftools_stats,Naive,Realtime,2.5705994498E10,3322.5,16950.0,0.8039823008849557
local,EAGER-0,bcftools_stats,Lotaru-A,Realtime,8.330435694E9,2831.5,7872.0,0.640307418699187
local,EAGER-0,bcftools_stats,Lotaru-A,Realtime,2.5705994498E10,2831.5,16950.0,0.8329498525073746
local,EAGER-0,bcftools_stats,Perfect,Realtime,8.330435694E9,7872.0,7872.0,0.0
local,EAGER-0,bcftools_stats,Perfect,Realtime,2.5705994498E10,16950.0,16950.0,0.0
local,EAGER-0,genotyping_hc,Lotaru-G,Realtime,8.330435694E9,3138693.32652921,2870443.0,0.09345258781630918
local,EAGER-0,genotyping_hc,Lotaru-G,Realtime,2.5705994498E10,7509611.26693534,5594417.0,0.3423402772684518
local,EAGER-0,genotyping_hc,OnlineP,Realtime,8.330435694E9,1973236.448714181,2870443.0,0.3125672766488723
local,EAGER-0,genotyping_hc,OnlineP,Realtime,2.5705994498E10,2437805.790005457,5594417.0,0.5642431034358975
local,EAGER-0,genotyping_hc,OnlineM,Realtime,8.330435694E9,1973236.448714181,2870443.0,0.3125672766488723
local,EAGER-0,genotyping_hc,OnlineM,Realtime,2.5705994498E10,2437805.790005457,5594417.0,0.5642431034358975
local,EAGER-0,genotyping_hc,Naive,Realtime,8.330435694E9,847241.3928663642,2870443.0,0.7048394993851597
local,EAGER-0,genotyping_hc,Naive,Realtime,2.5705994498E10,1046711.8496659602,5594417.0,0.8129006383210332
local,EAGER-0,genotyping_hc,Lotaru-A,Realtime,8.330435694E9,3138693.32652921,2870443.0,0.09345258781630918
local,EAGER-0,genotyping_hc,Lotaru-A,Realtime,2.5705994498E10,7509611.26693534,5594417.0,0.3423402772684518
local,EAGER-0,genotyping_hc,Perfect,Realtime,8.330435694E9,2870443.0,2870443.0,0.0
local,EAGER-0,genotyping_hc,Perfect,Realtime,2.5705994498E10,5594417.0,5594417.0,0.0
local,EAGER-0,qualimap,Lotaru-G,Realtime,8.330435694E9,28206.38474129,28895.0,0.023831640723654627
local,EAGER-0,qualimap,Lotaru-G,Realtime,2.5705994498E10,57167.09146544,48137.0,0.18759148815755025
local,EAGER-0,qualimap,OnlineP,Realtime,8.330435694E9,21259.051472323317,28895.0,0.26426539289415757
local,EAGER-0,qualimap,OnlineP,Realtime,2.5705994498E10,26264.47651131757,48137.0,0.4543806944488113
local,EAGER-0,qualimap,OnlineM,Realtime,8.330435694E9,21259.051472323317,28895.0,0.26426539289415757
local,EAGER-0,qualimap,OnlineM,Realtime,2.5705994498E10,26264.47651131757,48137.0,0.4543806944488113
local,EAGER-0,qualimap,Naive,Realtime,8.330435694E9,14644.491319866527,28895.0,0.49318251185788103
local,EAGER-0,qualimap,Naive,Realtime,2.5705994498E10,18092.523967570687,48137.0,0.6241451696705095
local,EAGER-0,qualimap,Lotaru-A,Realtime,8.330435694E9,28206.38474129,28895.0,0.023831640723654627
local,EAGER-0,qualimap,Lotaru-A,Realtime,2.5705994498E10,57167.09146544,48137.0,0.18759148815755025
local,EAGER-0,qualimap,Perfect,Realtime,8.330435694E9,28895.0,28895.0,0.0
local,EAGER-0,qualimap,Perfect,Realtime,2.5705994498E10,48137.0,48137.0,0.0
local,EAGER-0,adapter_removal,Lotaru-G,Realtime,8.330435694E9,441621.86900598,432899.0,0.020149894099963338
local,EAGER-0,adapter_removal,Lotaru-G,Realtime,2.5705994498E10,1362555.79554712,1321250.0,0.03126266455789596
local,EAGER-0,adapter_removal,OnlineP,Realtime,8.330435694E9,442240.37643099425,432899.0,0.021578650980931462
local,EAGER-0,adapter_removal,OnlineP,Realtime,2.5705994498E10,1364661.9417235802,1321250.0,0.03285672032059053
local,EAGER-0,adapter_removal,OnlineM,Realtime,8.330435694E9,442240.37643099425,432899.0,0.021578650980931462
local,EAGER-0,adapter_removal,OnlineM,Realtime,2.5705994498E10,1364661.9417235802,1321250.0,0.03285672032059053
local,EAGER-0,adapter_removal,Naive,Realtime,8.330435694E9,453793.6517553268,432899.0,0.048266805317930456
local,EAGER-0,adapter_removal,Naive,Realtime,2.5705994498E10,1400312.9495863388,1321250.0,0.05983950772854405
local,EAGER-0,adapter_removal,Lotaru-A,Realtime,8.330435694E9,441621.86900598,432899.0,0.020149894099963338
local,EAGER-0,adapter_removal,Lotaru-A,Realtime,2.5705994498E10,1362555.79554712,1321250.0,0.03126266455789596
local,EAGER-0,adapter_removal,Perfect,Realtime,8.330435694E9,432899.0,432899.0,0.0
local,EAGER-0,adapter_removal,Perfect,Realtime,2.5705994498E10,1321250.0,1321250.0,0.0
local,EAGER-0,preseq,Lotaru-G,Realtime,8.330435694E9,14204.22181869,14330.0,0.00877726317585479
local,EAGER-0,preseq,Lotaru-G,Realtime,2.5705994498E10,39226.89621867,43820.0,0.10481752125353717
local,EAGER-0,preseq,OnlineP,Realtime,8.330435694E9,14220.794859169875,14330.0,0.007620735577817512
local,EAGER-0,preseq,OnlineP,Realtime,2.5705994498E10,39094.6951959377,43820.0,0.10783443185902107
local,EAGER-0,preseq,OnlineM,Realtime,8.330435694E9,14220.794859169875,14330.0,0.007620735577817512
local,EAGER-0,preseq,OnlineM,Realtime,2.5705994498E10,39094.6951959377,43820.0,0.10783443185902107
local,EAGER-0,preseq,Naive,Realtime,8.330435694E9,14012.774703260247,14330.0,0.022137145620359566
