Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
n2,EAGER-0,bcftools_stats,Lotaru-G,Realtime,8.330435694E9,2831.5,6761.0,0.5812010057683774
n2,EAGER-0,bcftools_stats,Lotaru-G,Realtime,2.5705994498E10,2831.5,14775.0,0.8083587140439933
n2,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.9100037384E10,2831.5,11093.0,0.7447489407734608
n2,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.907531498E10,2831.5,11154.0,0.7461448807602654
n2,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.4754556884E10,2831.5,11077.0,0.7443802473593933
n2,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.9132169434E10,2831.5,9940.0,0.7151408450704225
n2,EAGER-0,bcftools_stats,OnlineP,Realtime,8.330435694E9,4070.314109797839,6761.0,0.3979715855941667
n2,EAGER-0,bcftools_stats,OnlineP,Realtime,2.5705994498E10,4070.314109797839,14775.0,0.7245134274248501
n2,EAGER-0,bcftools_stats,OnlineP,Realtime,1.9100037384E10,4070.314109797839,11093.0,0.6330736401516417
n2,EAGER-0,bcftools_stats,OnlineP,Realtime,1.907531498E10,4070.314109797839,11154.0,0.6350803200826753
n2,EAGER-0,bcftools_stats,OnlineP,Realtime,1.4754556884E10,4070.314109797839,11077.0,0.6325436390902014
n2,EAGER-0,bcftools_stats,OnlineP,Realtime,1.9132169434E10,4070.314109797839,9940.0,0.5905116589740605
n2,EAGER-0,bcftools_stats,OnlineM,Realtime,8.330435694E9,2831.5,6761.0,0.5812010057683774
n2,EAGER-0,bcftools_stats,OnlineM,Realtime,2.5705994498E10,2831.5,14775.0,0.8083587140439933
n2,EAGER-0,bcftools_stats,OnlineM,Realtime,1.9100037384E10,2831.5,11093.0,0.7447489407734608
n2,EAGER-0,bcftools_stats,OnlineM,Realtime,1.907531498E10,2831.5,11154.0,0.7461448807602654
n2,EAGER-0,bcftools_stats,OnlineM,Realtime,1.4754556884E10,2831.5,11077.0,0.7443802473593933
n2,EAGER-0,bcftools_stats,OnlineM,Realtime,1.9132169434E10,2831.5,9940.0,0.7151408450704225
n2,EAGER-0,bcftools_stats,Naive,Realtime,8.330435694E9,3322.5,6761.0,0.5085786126312676
n2,EAGER-0,bcftools_stats,Naive,Realtime,2.5705994498E10,3322.5,14775.0,0.7751269035532995
n2,EAGER-0,bcftools_stats,Naive,Realtime,1.9100037384E10,3322.5,11093.0,0.7004867934733616
n2,EAGER-0,bcftools_stats,Naive,Realtime,1.907531498E10,3322.5,11154.0,0.7021247982786444
n2,EAGER-0,bcftools_stats,Naive,Realtime,1.4754556884E10,3322.5,11077.0,0.7000541662905119
n2,EAGER-0,bcftools_stats,Naive,Realtime,1.9132169434E10,3322.5,9940.0,0.6657444668008048
n2,EAGER-0,bcftools_stats,Lotaru-A,Realtime,8.330435694E9,2831.5,6761.0,0.5812010057683774
n2,EAGER-0,bcftools_stats,Lotaru-A,Realtime,2.5705994498E10,2831.5,14775.0,0.8083587140439933
n2,EAGER-0,bcftools_stats,Lotaru-A,Realtime,1.9100037384E10,2831.5,11093.0,0.7447489407734608
n2,EAGER-0,bcftools_stats,Lotaru-A,Realtime,1.907531498E10,2831.5,11154.0,0.7461448807602654
n2,EAGER-0,bcftools_stats,Lotaru-A,Realtime,1.4754556884E10,2831.5,11077.0,0.7443802473593933
n2,EAGER-0,bcftools_stats,Lotaru-A,Realtime,1.9132169434E10,2831.5,9940.0,0.7151408450704225
n2,EAGER-0,bcftools_stats,Perfect,Realtime,8.330435694E9,6761.0,6761.0,0.0
n2,EAGER-0,bcftools_stats,Perfect,Realtime,2.5705994498E10,14775.0,14775.0,0.0
n2,EAGER-0,bcftools_stats,Perfect,Realtime,1.9100037384E10,11093.0,11093.0,0.0
n2,EAGER-0,bcftools_stats,Perfect,Realtime,1.907531498E10,11154.0,11154.0,0.0
n2,EAGER-0,bcftools_stats,Perfect,Realtime,1.4754556884E10,11077.0,11077.0,0.0
n2,EAGER-0,bcftools_stats,Perfect,Realtime,1.9132169434E10,9940.0,9940.0,0.0
n2,EAGER-0,genotyping_hc,Lotaru-G,Realtime,8.330435694E9,2817144.681976701,2586578.0,0.08913965941746242
n2,EAGER-0,genotyping_hc,Lotaru-G,Realtime,2.5705994498E10,6739743.518999711,4848044.0,0.39019850459272043
n2,EAGER-0,genotyping_hc,Lotaru-G,Realtime,1.9100037384E10,4695012.917712165,3203084.0,0.46577889237752274
n2,EAGER-0,genotyping_hc,Lotaru-G,Realtime,1.907531498E10,4695089.081701322,3138085.0,0.4961637692099871
n2,EAGER-0,genotyping_hc,Lotaru-G,Realtime,1.4754556884E10,4333760.607931458,3657452.0,0.18491250409614626
n2,EAGER-0,genotyping_hc,Lotaru-G,Realtime,1.9132169434E10,4701848.295627819,3151150.0,0.49210551564597665
n2,EAGER-0,genotyping_hc,OnlineP,Realtime,8.330435694E9,1973261.215515382,2586578.0,0.23711513222667868
n2,EAGER-0,genotyping_hc,OnlineP,Realtime,2.5705994498E10,2437801.9059404572,4848044.0,0.49715763595783014
n2,EAGER-0,genotyping_hc,OnlineP,Realtime,1.9100037384E10,2195651.0756566552,3203084.0,0.31451967052482693
n2,EAGER-0,genotyping_hc,OnlineP,Realtime,1.907531498E10,2195660.095511496,3138085.0,0.30031847591397426
n2,EAGER-0,genotyping_hc,OnlineP,Realtime,1.4754556884E10,2152869.133282313,3657452.0,0.4113746036086562
n2,EAGER-0,genotyping_hc,OnlineP,Realtime,1.9132169434E10,2196460.5673503466,3151150.0,0.3029654039476551
n2,EAGER-0,genotyping_hc,OnlineM,Realtime,8.330435694E9,1973261.215515382,2586578.0,0.23711513222667868
n2,EAGER-0,genotyping_hc,OnlineM,Realtime,2.5705994498E10,2437801.9059404572,4848044.0,0.49715763595783014
n2,EAGER-0,genotyping_hc,OnlineM,Realtime,1.9100037384E10,2195651.0756566552,3203084.0,0.31451967052482693
n2,EAGER-0,genotyping_hc,OnlineM,Realtime,1.907531498E10,2195660.095511496,3138085.0,0.30031847591397426
n2,EAGER-0,genotyping_hc,OnlineM,Realtime,1.4754556884E10,2152869.133282313,3657452.0,0.4113746036086562
n2,EAGER-0,genotyping_hc,OnlineM,Realtime,1.9132169434E10,2196460.5673503466,3151150.0,0.3029654039476551
n2,EAGER-0,genotyping_hc,Naive,Realtime,8.330435694E9,847252.0268981651,2586578.0,0.6724428851949699
